user_id,RFM Score,Segment
1,233,Hibernating customers
2,144,Cannot Lose Them
3,311,New Customers
4,211,Hibernating customers
5,135,At Risk
6,211,Hibernating customers
8,313,Promising
9,445,Champions
10,535,Need Attention
13,442,Potential Loyalist
14,115,Cannot Lose Them
15,333,Potential Loyalist
16,115,Cannot Lose Them
17,114,Cannot Lose Them
18,135,At Risk
19,115,Cannot Lose Them
20,444,Loyal
21,432,Potential Loyalist
22,334,Need Attention
23,213,About To Sleep
25,413,Promising
26,115,Cannot Lose Them
28,532,Potential Loyalist
29,333,Potential Loyalist
30,443,Need Attention
31,442,Potential Loyalist
32,515,Promising
36,345,Loyal
37,345,Loyal
38,511,New Customers
39,142,At Risk
41,335,Loyal
45,112,Lost customers
47,211,Hibernating customers
48,313,Promising
49,112,Lost customers
50,315,Promising
51,444,Loyal
52,115,Cannot Lose Them
56,111,Lost customers
57,112,Lost customers
58,532,Potential Loyalist
59,541,Potential Loyalist
60,415,Promising
61,331,About To Sleep
62,112,Lost customers
63,331,About To Sleep
66,135,At Risk
67,434,Need Attention
68,245,At Risk
69,411,New Customers
70,335,Loyal
71,314,Promising
72,214,Cannot Lose Them
73,513,Promising
75,113,Cannot Lose Them
76,115,Cannot Lose Them
77,115,Cannot Lose Them
79,455,Champions
80,233,Hibernating customers
82,541,Potential Loyalist
83,332,Hibernating customers
84,533,Potential Loyalist
85,341,Potential Loyalist
87,351,Potential Loyalist
89,532,Potential Loyalist
90,135,At Risk
91,434,Need Attention
92,112,Lost customers
93,245,At Risk
94,232,Hibernating customers
97,455,Champions
98,514,Promising
99,133,At Risk
101,544,Champions
102,243,At Risk
103,231,About To Sleep
103,231,Hibernating customers
104,342,Potential Loyalist
107,212,Hibernating customers
109,411,New Customers
110,351,Potential Loyalist
111,112,Lost customers
112,213,About To Sleep
113,334,Need Attention
115,315,Promising
116,115,Cannot Lose Them
117,211,Hibernating customers
118,212,Hibernating customers
119,433,Potential Loyalist
122,553,Potential Loyalist
123,543,Loyal
124,212,Hibernating customers
125,113,Cannot Lose Them
126,245,At Risk
127,533,Potential Loyalist
128,335,Loyal
129,544,Champions
130,253,At Risk
131,445,Champions
132,432,Potential Loyalist
133,211,Hibernating customers
134,112,Lost customers
135,314,Promising
136,111,Lost customers
137,434,Need Attention
139,434,Need Attention
140,111,Lost customers
141,132,Hibernating customers
142,132,Hibernating customers
143,543,Loyal
144,534,Need Attention
145,535,Need Attention
147,315,Promising
148,211,Hibernating customers
149,444,Loyal
150,215,Cannot Lose Them
152,114,Cannot Lose Them
154,535,Need Attention
155,435,Loyal
156,242,At Risk
157,433,Potential Loyalist
158,312,About To Sleep
159,345,Loyal
160,215,Cannot Lose Them
161,433,Potential Loyalist
162,312,About To Sleep
163,434,Need Attention
164,312,About To Sleep
165,133,At Risk
166,243,At Risk
167,234,At Risk
168,535,Need Attention
169,454,Champions
170,341,Potential Loyalist
172,232,Hibernating customers
175,452,Potential Loyalist
176,534,Need Attention
178,532,Potential Loyalist
179,112,Lost customers
180,112,Lost customers
181,545,Champions
182,413,Promising
183,211,Hibernating customers
184,444,Loyal
185,111,Lost customers
186,431,Potential Loyalist
188,234,At Risk
189,441,Potential Loyalist
190,515,Promising
191,232,Hibernating customers
192,132,Hibernating customers
193,541,Potential Loyalist
195,353,Potential Loyalist
196,114,Cannot Lose Them
199,112,Lost customers
200,112,Lost customers
201,415,Promising
202,234,At Risk
203,533,Potential Loyalist
204,512,New Customers
206,212,Hibernating customers
207,111,Lost customers
208,341,Potential Loyalist
209,331,About To Sleep
210,512,New Customers
212,332,Hibernating customers
213,212,Hibernating customers
214,452,Potential Loyalist
215,455,Champions
